Thời Gian,ID Xe,Loại Phương Tiện,Tốc Độ (km/h),Biển Số,Trạng Thái
2026-06-13 13:29:42,34,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:29:42,10,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:29:47,6,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:29:48,3,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:29:53,8,Xe máy,0,Không rõ,Bình Thường
2026-06-13 13:29:56,44,Xe máy,0,Không rõ,Bình Thường
2026-06-13 13:29:56,1,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:29:57,42,Xe buýt,0,Không rõ,Bình Thường
2026-06-13 13:29:59,51,Xe máy,0,Không rõ,Bình Thường
2026-06-13 13:30:01,52,Xe máy,0,Không rõ,Bình Thường
2026-06-13 13:30:03,53,Xe buýt,0,Không rõ,Bình Thường
2026-06-13 13:30:05,55,Xe máy,0,Không rõ,Bình Thường
2026-06-13 13:30:06,54,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:30:06,58,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:30:08,61,Xe máy,0,Không rõ,Bình Thường
2026-06-13 13:30:08,57,Xe máy,0,Không rõ,Bình Thường
2026-06-13 13:30:09,63,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:30:11,18,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:30:13,29,Xe máy,0,Không rõ,Bình Thường
2026-06-13 13:30:13,69,Xe máy,0,Không rõ,Bình Thường
2026-06-13 13:30:14,68,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:30:14,70,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:30:16,73,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:30:17,43,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:30:17,82,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:30:18,66,Xe máy,0,Không rõ,Bình Thường
2026-06-13 13:30:19,83,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:30:19,4,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:30:20,85,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:30:21,25,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:30:23,28,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:30:25,89,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:30:25,86,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:30:27,94,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:30:29,97,Xe tải,0,Không rõ,Bình Thường
2026-06-13 13:30:29,98,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:30:29,41,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:30:30,96,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:30:30,100,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:30:31,103,Xe máy,0,Không rõ,Bình Thường
2026-06-13 13:30:32,104,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:30:32,102,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:30:33,106,Xe buýt,0,Không rõ,Bình Thường
2026-06-13 13:30:34,108,Xe máy,0,Không rõ,Bình Thường
2026-06-13 13:30:35,56,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:30:36,112,Xe máy,0,Không rõ,Bình Thường
2026-06-13 13:30:37,110,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:30:39,114,Xe buýt,0,Không rõ,Bình Thường
2026-06-13 13:30:40,115,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:30:40,2,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:30:41,118,Ô tô,0,Không rõ,Bình Thường
